2020-06-11 05:01:41.109 -x- closed channel b'88fdf030cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:41.243 --> new channel b'88fdf031cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:41.247 -x- closed channel b'88fdf031cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:41.482 --> new channel b'88fdf032cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:41.485 -x- closed channel b'88fdf032cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:44.635 --> new channel b'88fdf033cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:44.638 -x- closed channel b'88fdf033cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:45.057 --> new channel b'88fdf034cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:45.060 -x- closed channel b'88fdf034cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:45.663 --> new channel b'88fdf035cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:45.666 -x- closed channel b'88fdf035cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:45.786 --> new channel b'88fdf036cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:45.789 -x- closed channel b'88fdf036cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:46.618 --> new channel b'88fdf037cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:46.621 -x- closed channel b'88fdf037cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:46.814 --> new channel b'88fdf038cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:46.817 -x- closed channel b'88fdf038cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:47.658 --> new channel b'88fdf039cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:47.662 -x- closed channel b'88fdf039cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:47.781 --> new channel b'88fdf03acf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:47.784 -x- closed channel b'88fdf03acf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:48.498 --> new channel b'88fdf03bcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:48.501 -x- closed channel b'88fdf03bcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:48.920 --> new channel b'88fdf03ccf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:48.923 -x- closed channel b'88fdf03ccf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:50.407 --> new channel b'88fdf03dcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:50.410 -x- closed channel b'88fdf03dcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:50.603 --> new channel b'88fdf03ecf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:50.606 -x- closed channel b'88fdf03ecf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:51.869 --> new channel b'88fdf03fcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:51.872 -x- closed channel b'88fdf03fcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:53.875 --> new channel b'88fdf040cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:53.879 -x- closed channel b'88fdf040cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:54.604 --> new channel b'88fdf041cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:54.608 -x- closed channel b'88fdf041cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:54.727 --> new channel b'88fdf042cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:54.731 -x- closed channel b'88fdf042cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:58.705 --> new channel b'88fdf043cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:58.708 -x- closed channel b'88fdf043cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:58.828 --> new channel b'88fdf044cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:01:58.831 -x- closed channel b'88fdf044cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:02.104 --> new channel b'88fdf045cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:02.108 -x- closed channel b'88fdf045cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:02.227 --> new channel b'88fdf046cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:02.231 -x- closed channel b'88fdf046cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:02.997 --> new channel b'88fdf047cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:03.001 -x- closed channel b'88fdf047cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:03.121 --> new channel b'88fdf048cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:03.124 -x- closed channel b'88fdf048cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:03.448 --> new channel b'88fdf049cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:03.452 -x- closed channel b'88fdf049cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:03.833 --> new channel b'88fdf04acf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:03.837 -x- closed channel b'88fdf04acf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:03.955 --> new channel b'88fdf04bcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:03.959 -x- closed channel b'88fdf04bcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:04.288 --> new channel b'88fdf04ccf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:04.292 -x- closed channel b'88fdf04ccf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:04.410 --> new channel b'88fdf04dcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:04.414 -x- closed channel b'88fdf04dcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:04.533 --> new channel b'88fdf04ecf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:04.537 -x- closed channel b'88fdf04ecf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:06.090 --> new channel b'88fdf04fcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:06.094 -x- closed channel b'88fdf04fcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:06.212 --> new channel b'88fdf050cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:06.216 -x- closed channel b'88fdf050cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:06.786 --> new channel b'88fdf051cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:06.790 -x- closed channel b'88fdf051cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:06.910 --> new channel b'88fdf052cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:06.913 -x- closed channel b'88fdf052cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:08.535 --> new channel b'88fdf053cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:08.539 -x- closed channel b'88fdf053cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:08.658 --> new channel b'88fdf054cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:08.662 -x- closed channel b'88fdf054cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:08.781 --> new channel b'88fdf055cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:08.785 -x- closed channel b'88fdf055cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:09.395 --> new channel b'88fdf056cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:09.399 -x- closed channel b'88fdf056cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:09.519 --> new channel b'88fdf057cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:09.523 -x- closed channel b'88fdf057cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:11.620 --> new channel b'88fdf058cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:11.624 -x- closed channel b'88fdf058cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:11.743 --> new channel b'88fdf059cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:11.747 -x- closed channel b'88fdf059cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:11.865 --> new channel b'88fdf05acf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:11.868 -x- closed channel b'88fdf05acf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:23.936 --> new channel b'88fdf05bcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:23.940 -x- closed channel b'88fdf05bcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:24.719 --> new channel b'88fdf05ccf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:24.723 -x- closed channel b'88fdf05ccf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:26.710 --> new channel b'88fdf05dcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:26.713 -x- closed channel b'88fdf05dcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:27.614 --> new channel b'88fdf05ecf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:27.618 -x- closed channel b'88fdf05ecf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:27.738 --> new channel b'88fdf05fcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:27.741 -x- closed channel b'88fdf05fcf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:28.630 --> new channel b'88fdf060cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:28.633 -x- closed channel b'88fdf060cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:28.753 --> new channel b'88fdf061cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:28.756 -x- closed channel b'88fdf061cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:30.425 --> new channel b'88fdf062cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:30.428 -x- closed channel b'88fdf062cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:30.547 --> new channel b'88fdf063cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:30.550 -x- closed channel b'88fdf063cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:31.296 --> new channel b'88fdf064cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:31.300 -x- closed channel b'88fdf064cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:31.420 --> new channel b'88fdf065cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:31.423 -x- closed channel b'88fdf065cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:42.991 --> new channel b'88fdf066cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:42.994 -x- closed channel b'88fdf066cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:43.220 --> new channel b'88fdf067cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:43.223 -x- closed channel b'88fdf067cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:43.687 --> new channel b'88fdf068cf6c46d7b3825d2b731ef3ac'
2020-06-11 05:02:43.691 -x- closed channel b'88fdf068cf6c46d7b3825d2b731ef3ac'
